period,series_id,turnover
1982-04-01,A3348591K,1162.6
1982-05-01,A3348591K,1150.9
1982-06-01,A3348591K,1160.0
1982-07-01,A3348591K,1206.4
1982-08-01,A3348591K,1152.5
1982-09-01,A3348591K,1189.1
1982-10-01,A3348591K,1247.4
1982-11-01,A3348591K,1280.7
1982-12-01,A3348591K,1483.7
1983-01-01,A3348591K,1202.8
1983-02-01,A3348591K,1224.2
1983-03-01,A3348591K,1332.4
1983-04-01,A3348591K,1270.9
1983-05-01,A3348591K,1251.7
1983-06-01,A3348591K,1269.3
1983-07-01,A3348591K,1292.8
1983-08-01,A3348591K,1337.0
1983-09-01,A3348591K,1322.8
1983-10-01,A3348591K,1355.4
1983-11-01,A3348591K,1410.9
1983-12-01,A3348591K,1642.3
1984-01-01,A3348591K,1314.5
1984-02-01,A3348591K,1335.4
1984-03-01,A3348591K,1388.8
1984-04-01,A3348591K,1346.5
1984-05-01,A3348591K,1404.3
1984-06-01,A3348591K,1367.6
1984-07-01,A3348591K,1361.6
1984-08-01,A3348591K,1436.7
1984-09-01,A3348591K,1355.6
1984-10-01,A3348591K,1462.7
1984-11-01,A3348591K,1501.4
1984-12-01,A3348591K,1686.6
1985-01-01,A3348591K,1484.7
1985-02-01,A3348591K,1397.0
1985-03-01,A3348591K,1495.0
1985-04-01,A3348591K,1474.9
1985-05-01,A3348591K,1556.8
1985-06-01,A3348591K,1453.7
1985-07-01,A3348591K,1558.6
1985-08-01,A3348591K,1585.7
1985-09-01,A3348591K,1518.0
1985-10-01,A3348591K,1655.7
1985-11-01,A3348591K,1667.3
1985-12-01,A3348591K,1867.3
1986-01-01,A3348591K,1674.4
1986-02-01,A3348591K,1558.5
1986-03-01,A3348591K,1676.6
1986-04-01,A3348591K,1643.7
1986-05-01,A3348591K,1746.5
1986-06-01,A3348591K,1638.5
1986-07-01,A3348591K,1721.8
1986-08-01,A3348591K,1720.9
1986-09-01,A3348591K,1705.7
1986-10-01,A3348591K,1816.4
1986-11-01,A3348591K,1774.7
1986-12-01,A3348591K,2073.6
1987-01-01,A3348591K,1830.7
1987-02-01,A3348591K,1710.1
1987-03-01,A3348591K,1791.0
1987-04-01,A3348591K,1824.4
1987-05-01,A3348591K,1823.3
1987-06-01,A3348591K,1761.9
1987-07-01,A3348591K,1856.9
1987-08-01,A3348591K,1821.0
1987-09-01,A3348591K,1830.0
1987-10-01,A3348591K,1942.4
1987-11-01,A3348591K,1885.9
1987-12-01,A3348591K,2272.4
1988-01-01,A3348591K,1885.1
1988-02-01,A3348591K,1845.2
1988-03-01,A3348591K,2021.6
1988-04-01,A3348591K,1937.5
1988-05-01,A3348591K,1907.0
1988-06-01,A3348591K,1925.7
1988-07-01,A3348591K,1932.6
1988-08-01,A3348591K,1977.6
1988-09-01,A3348591K,2035.2
1988-10-01,A3348591K,2050.7
1988-11-01,A3348591K,2109.5
1988-12-01,A3348591K,2549.7
1989-01-01,A3348591K,2056.1
1989-02-01,A3348591K,1990.2
1989-03-01,A3348591K,2261.2
1989-04-01,A3348591K,2104.6
1989-05-01,A3348591K,2139.0
1989-06-01,A3348591K,2170.3
1989-07-01,A3348591K,2163.1
1989-08-01,A3348591K,2255.1
1989-09-01,A3348591K,2262.6
1989-10-01,A3348591K,2221.7
1989-11-01,A3348591K,2327.5
1989-12-01,A3348591K,2788.4
1990-01-01,A3348591K,2277.4
1990-02-01,A3348591K,2185.3
1990-03-01,A3348591K,2439.5
1990-04-01,A3348591K,2286.0
1990-05-01,A3348591K,2382.9
1990-06-01,A3348591K,2361.9
1990-07-01,A3348591K,2302.9
1990-08-01,A3348591K,2469.0
1990-09-01,A3348591K,2307.8
1990-10-01,A3348591K,2442.4
1990-11-01,A3348591K,2553.4
1990-12-01,A3348591K,2887.2
1991-01-01,A3348591K,2551.9
1991-02-01,A3348591K,2341.5
1991-03-01,A3348591K,2593.6
1991-04-01,A3348591K,2402.9
1991-05-01,A3348591K,2584.5
1991-06-01,A3348591K,2410.0
1991-07-01,A3348591K,2540.0
1991-08-01,A3348591K,2684.0
1991-09-01,A3348591K,2452.1
1991-10-01,A3348591K,2679.6
1991-11-01,A3348591K,2693.4
1991-12-01,A3348591K,2984.8
1992-01-01,A3348591K,2684.5
1992-02-01,A3348591K,2562.4
1992-03-01,A3348591K,2643.1
1992-04-01,A3348591K,2707.1
1992-05-01,A3348591K,2697.5
1992-06-01,A3348591K,2584.2
1992-07-01,A3348591K,2754.7
1992-08-01,A3348591K,2670.5
1992-09-01,A3348591K,2665.6
1992-10-01,A3348591K,2858.5
1992-11-01,A3348591K,2700.6
1992-12-01,A3348591K,3221.5
1993-01-01,A3348591K,2789.1
1993-02-01,A3348591K,2610.6
1993-03-01,A3348591K,2795.8
1993-04-01,A3348591K,2832.7
1993-05-01,A3348591K,2773.6
1993-06-01,A3348591K,2714.1
1993-07-01,A3348591K,2876.2
1993-08-01,A3348591K,2734.0
1993-09-01,A3348591K,2805.7
1993-10-01,A3348591K,2901.8
1993-11-01,A3348591K,2872.4
1993-12-01,A3348591K,3433.4
1994-01-01,A3348591K,2834.4
1994-02-01,A3348591K,2724.2
1994-03-01,A3348591K,3048.7
1994-04-01,A3348591K,2837.4
1994-05-01,A3348591K,2848.7
1994-06-01,A3348591K,2869.9
1994-07-01,A3348591K,2953.3
1994-08-01,A3348591K,2964.7
1994-09-01,A3348591K,3013.5
1994-10-01,A3348591K,3081.6
1994-11-01,A3348591K,3082.7
1994-12-01,A3348591K,3700.0
1995-01-01,A3348591K,3063.0
1995-02-01,A3348591K,2949.1
1995-03-01,A3348591K,3244.4
1995-04-01,A3348591K,3151.0
1995-05-01,A3348591K,3200.0
1995-06-01,A3348591K,3179.6
1995-07-01,A3348591K,3212.0
1995-08-01,A3348591K,3342.3
1995-09-01,A3348591K,3301.7
1995-10-01,A3348591K,3369.8
1995-11-01,A3348591K,3485.3
